Material_ID,Delta_G_H (eV),Abs_Delta_G_H (eV),Formation_Energy (eV/atom),Stability_Score,Synthesis_Prob,Is_Synthesizable,Composite_Score
1,0.2646006610989571,0.2646006610989571,-5.323222637176514,0.9919591546058655,0.8,1,0.725907217502594
2,0.3132051941752434,0.3132051941752434,-3.019066095352173,0.919465184211731,0.8,1,0.6652753999233245
3,-0.009803216457366926,0.009803216457366926,-6.110126495361328,0.9963393807411194,0.8,1,0.9310592410564422
4,0.28774406991899015,0.28774406991899015,-4.8756279945373535,0.9874197840690613,0.8,1,0.7060306792855262
5,0.18229888796806337,0.18229888796806337,-2.641127109527588,0.8824777007102966,0.8,1,0.7589041998386383
6,0.36909828007221224,0.36909828007221224,-2.37137770652771,0.8460885286331177,0.8,1,0.5985479345321655
7,0.29173749543726446,0.29173749543726446,-4.975216388702393,0.9886122345924377,0.8,1,0.7031936740279198
8,0.2612704648450017,0.2612704648450017,-5.944816589355469,0.9956813454627991,0.8,1,0.7296880317628384
9,0.28660077646374704,0.28660077646374704,-4.565133571624756,0.9828392863273621,0.8,1,0.7055711647272109
10,0.28292991265654566,0.28292991265654566,-4.385226726531982,0.9794568419456482,0.8,1,0.707493122458458
11,0.30739386051893236,0.30739386051893236,-2.334958553314209,0.8403798937797546,0.8,1,0.6461988797187805
12,0.286794940456748,0.286794940456748,-4.360276222229004,0.9789378046989441,0.8,1,0.7042453890442848
13,0.31289967566728594,0.31289967566728594,-4.809143543243408,0.9865549206733704,0.8,1,0.6856467356681823
14,0.274461940843612,0.274461940843612,-4.85584020614624,0.9871683716773987,0.8,1,0.7165809588283301
15,0.3241529543697834,0.3241529543697834,-2.7289540767669678,0.8923590183258057,0.8,1,0.648385342001915
16,0.23491359919309618,0.23491359919309618,-4.600944519042969,0.9834429621696472,0.8,1,0.7471020092964172
17,0.3097664085030556,0.3097664085030556,-4.3205976486206055,0.9780852794647217,0.8,1,0.6856124570369719
18,0.2890003961324692,0.2890003961324692,-3.7997255325317383,0.9631066918373108,0.8,1,0.6977316906452179
19,0.29250284142792227,0.29250284142792227,-2.8004767894744873,0.8997889757156372,0.8,1,0.6759344195723533
20,0.3026209291815758,0.3026209291815758,-4.382321834564209,0.9793970584869385,0.8,1,0.6917223742008209
